found_date,metro,title,company,location,posted,source,flags,url
2026-09-17,SF Bay Area,Sr. Wireless Firmware Engineer (Starlink Mobile),spacex,"Palo Alto, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8546682002?gh_jid=8546682002
2026-09-17,SF Bay Area,Sr. Wireless Software Engineer (Starlink),spacex,"Palo Alto, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8637796002?gh_jid=8637796002
2026-09-17,SF Bay Area,Wireless Firmware Engineer (Starlink Mobile),spacex,"Palo Alto, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8546713002?gh_jid=8546713002
2026-09-17,SF Bay Area,Wireless Software Engineer (Starlink),spacex,"Palo Alto, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8637814002?gh_jid=8637814002
2026-09-17,SF Bay Area,Wireless Systems Engineer (Starlink Mobile),spacex,"Sunnyvale, CA",2026-09-01,Greenhouse/spacex,,https://boards.greenhouse.io/spacex/jobs/8546717002?gh_jid=8546717002
2026-09-17,Boston,Radio Frequency Engineering Mgr - L5 with Security Clearance,Lockheed Martin,"Chelmsford, Middlesex County, Massachusetts",2026-09-16,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5885613890?se=hDMAWFSy8RGezJEXxpo3fA&utm_medium=api&utm_source=d677d981&v=02AA69361A0D89BFCA2E287F5647243466C3B49C
2026-09-17,Washington DC,Spaceflight Safety -RF Engineering Analyst,Peraton Corporation,"Fort Belvoir, Fairfax County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886447511?utm_medium=api&utm_source=d677d981
2026-09-17,Washington DC,Radio Frequency (RF) Electrical Engineer-04532,Syneren Technologies,"Vienna, Fairfax County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/land/ad/5886628518?se=2uJAYlSy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=FF2572C23401BD6769E2C0366EBEEF7C2D0D17B3
2026-09-17,Washington DC,Senior RF Analyst with Security Clearance,Aerospace Corporation,"Chantilly, Fairfax County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884382291?se=2uJAYlSy8RGPhZDySvILTw&utm_medium=api&utm_source=d677d981&v=B95432201B5386309AF6D05976F59FF3FC1A5120
2026-09-17,Washington DC,Senior RF Analyst,The Aerospace Corporation,"Chantilly, Fairfax County, Virginia",2026-09-16,Adzuna,,https://www.adzuna.com/details/5886155286?utm_medium=api&utm_source=d677d981
2026-09-17,Boston,Rf Engineer,Actalent,"Tyngsborough, Middlesex County, Massachusetts",2026-09-14,Adzuna,,https://www.adzuna.com/land/ad/5883500453?se=Jh9HU3Wy8RGRr_JonSYGrg&utm_medium=api&utm_source=d677d981&v=4233F5FAAC4701269FFD0D6F0185732FB0AA66CE
2026-09-17,Washington DC,RF Engineer with Security Clearance,Amentum,"Dahlgren, King George County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884993089?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=84341C7C92CE6EA3A8FE080F091D9CA3ECB684D3
2026-09-17,Washington DC,RF Engineer - 30280 with Security Clearance,HII Mission Technologies,"Annapolis, Anne Arundel County, Maryland",2026-09-17,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5887131176?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=697DA27EA32C7BEECD1DACFB11D4388C01F4E888
2026-09-17,Washington DC,Senior Electromagnetic Pulse (EMP) or RF Engineer Sign-On Bonus with Security Clearance,Amentum,"Dahlgren, King George County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884853941?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=42C372DC0693903AA597BA8ECBDB06B16DA4188B
2026-09-17,Washington DC,Engineer RF Microwave Design 1,"Judge Group, Inc.","East Case, Baltimore, Maryland",2026-09-15,Adzuna,,https://www.adzuna.com/land/ad/5885464012?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=7637B07B6CA4CF8D421C516594D94C3C3C88A2FB
2026-09-17,Washington DC,Mid Level Radio Frequency Engineer with Security Clearance,Amentum,"Dahlgren, King George County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884818679?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=4BB238A2BAF660E13F7315BF5C83622D9795E7BF
2026-09-17,Washington DC,RF MICROWAVE DESIGN ENGINEER 1 with Security Clearance,"ASD, Inc.","Baltimore, Baltimore County, Maryland",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5885463415?se=EG9DXnWy8RGG_Ptdkojnvw&utm_medium=api&utm_source=d677d981&v=E089765424EF27B20EA0E667E900EFD42ADA1A98
2026-09-17,Washington DC,Senior Electromagnetic Environmental Effects (E3) Engineer with Security Clearance,Amentum,"Dahlgren, King George County, Virginia",2026-09-15,Adzuna,⚠️ 클리어런스/시민권,https://www.adzuna.com/land/ad/5884998563?se=hrO4ZXWy8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=d677d981&v=707B8E488F0DA275FDD7E81A66F20F90403428D8
2026-09-17,SF Bay Area,Electromagnetic Compatibility (EMC) Engineer III,Blue Origin,"San Francisco, CA",2026-09-16,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/electromagnetic-compatibility-emc-engineer-iii-at-blue-origin-4446261344
2026-09-17,SF Bay Area,Electromagnetic Compatibility Engineer,Insight Global,"San Jose, CA",2026-09-09,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/electromagnetic-compatibility-engineer-at-insight-global-4463896916
2026-09-17,SF Bay Area,"Senior Hardware Engineer, EMI/EMC",Rivet Industries,"San Jose, CA",2026-09-09,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/senior-hardware-engineer-emi-emc-at-rivet-industries-4462554871
2026-09-17,SF Bay Area,Principal mmWave Design Engineer (Power Amplifiers) - TeraWave,Blue Origin,"San Francisco, CA",2026-08-30,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/principal-mmwave-design-engineer-power-amplifiers-terawave-at-blue-origin-4430629418
2026-09-17,SF Bay Area,"Senior RF Engineer, Devices",Gridware,"San Francisco, CA",2026-09-09,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/senior-rf-engineer-devices-at-gridware-4443628908
2026-09-17,SF Bay Area,Senior RFIC Layout Engineer – CMOS Analog/RF,Apple Inc.,"San Francisco, CA",2026-09-06,JSearch/JobLeads,,https://www.jobleads.com/us/job/senior-rfic-layout-engineer-cmos-analog-rf--san-francisco--ed38921c98692033a3ead6fe4ce774d99
2026-09-17,SF Bay Area,Principal Radio Frequency Engineer,Lumex Talent,"Mountain View, CA",2026-09-15,JSearch/LinkedIn,⚠️ 클리어런스/시민권,https://www.linkedin.com/jobs/view/principal-radio-frequency-engineer-at-lumex-talent-4465595354
2026-09-17,SF Bay Area,Senior RF Design and Test Engineer,Triveni IT,"Sunnyvale, CA",2026-09-09,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/senior-rf-design-and-test-engineer-at-triveni-it-4463868758
2026-09-17,SF Bay Area,RF Engineer 3,Lam Research Corporation,"Fremont, CA",2026-09-02,JSearch/Lam Research – Careers,,https://opportunities.lamresearch.com/job/Fremont-RF-Engineer-3-CA-94536/1406136000/
2026-09-17,SF Bay Area,Senior Wireless RF Systems Engineer,Mytra,"Brisbane, CA",2026-09-11,JSearch/ZipRecruiter,,"https://www.ziprecruiter.com/c/Mytra/Job/Senior-Wireless-RF-Systems-Engineer/-in-Brisbane,CA?jid=fb9504a11bd73568"
2026-09-17,SF Bay Area,Radio Frequency Engineer,OSI Engineering,"Cupertino, CA",2026-09-02,JSearch/LinkedIn,,https://www.linkedin.com/jobs/view/radio-frequency-engineer-at-osi-engineering-4461335329
2026-09-17,Boston,Staff Engineer - EMC,Intertek,"Boxborough, MA",2026-09-13,JSearch/ZipRecruiter,,"https://www.ziprecruiter.com/c/Intertek/Job/Staff-Engineer-EMC/-in-Boxboro,MA?jid=f4e49147e384d114"
